Sampling Statistics Report
==============================



Generated Samples:
Chain | Step
------------
0 | 1  0.1971  1.6995  3.5827  3.3039  1.8533  -1.4966  -4.8293  2.2560  -0.8892  0.6378
0 | 2  -1.4012  3.3521  3.4029  2.5433  0.8459  -0.8733  0.9209  5.9188  1.6424  -0.3340
0 | 3  0.1753  2.6068  0.4651  -2.2563  2.4657  -0.7761  -3.3029  0.9934  -0.8838  1.2877
0 | 4  -0.7066  0.1518  -0.6839  0.6453  1.7420  -1.6921  1.7260  2.5131  -0.5710  0.2741
0 | 5  0.8881  0.6226  1.0557  5.3379  -2.2005  0.4398  -1.7563  -3.8831  0.3449  0.6373
0 | 6  -0.3267  -2.1729  0.5268  3.5967  -1.9679  0.4943  -4.6601  -4.4519  -1.1623  -0.8754
0 | 7  -1.9000  0.2587  -2.2513  5.5665  -2.0077  -0.0315  -3.2169  -1.8268  -0.5367  -0.9110
0 | 8  3.6624  -6.4576  0.0332  -3.4053  -4.1408  3.0023  3.5274  -10.4065  -0.3860  -2.4562
0 | 9  -2.1408  -3.3138  -3.6686  1.7330  -1.1881  1.6374  -1.5011  6.1507  -4.2387  -0.6205
0 | 10  1.9983  -3.1190  0.8692  -4.8203  1.4452  2.5571  2.7615  -3.3985  -2.0505  1.2723
0 | 11  -0.7914  -0.4153  -3.4589  5.8115  -2.2195  -2.2832  -2.7235  4.7833  3.0899  0.4974
0 | 12  -0.0890  0.5091  0.0746  6.3858  -1.3752  -2.2757  -0.1029  -0.2134  0.9643  1.1172
0 | 13  -0.8354  3.8855  2.7801  -1.7934  5.4201  -2.6158  -2.0670  9.3668  2.4747  0.0075
0 | 14  1.7717  3.5555  0.5357  5.1930  2.7528  -5.1890  -0.0000  -1.5230  3.5467  5.0371
0 | 15  -2.8153  3.5034  1.8050  7.0803  -0.4772  -0.7659  -3.7160  1.7322  0.9929  0.1100
0 | 16  -1.3699  2.2542  -0.0067  4.3751  0.0240  -1.2540  -0.5345  -1.1685  0.9398  1.6067
0 | 17  1.0827  -0.6324  1.2536  1.6852  -0.2321  0.4012  0.5059  -4.2211  0.1807  3.0870
0 | 18  -0.6676  0.7247  0.3868  2.5520  -0.3368  0.5131  -2.5560  -1.6860  -0.3721  2.1218
0 | 19  -0.8379  1.6176  2.0424  -3.8197  -0.6253  1.8726  4.3577  -1.0263  -0.4174  -2.3326
0 | 20  -0.1232  -1.2696  -2.9165  1.4336  -2.3704  0.4238  -1.1891  -3.5214  2.4795  0.3355
0 | 21  -0.2177  2.0195  3.1681  -4.2156  1.7643  1.3820  2.1924  2.6828  -1.4379  -1.6295
0 | 22  -1.2094  -0.4239  3.2240  -0.4581  1.0159  0.9697  1.7164  -5.8195  -0.1836  1.2955
0 | 23  1.8862  -1.0993  1.0985  -1.6665  0.9057  1.8228  -2.2535  -3.4791  -1.8925  1.7142
